Country Name,2011,2012,2013,2014,2015
Cameroon,2.533832071,2.526741623,2.515153215,2.498110306,2.477142121
Canada,0.987617711,1.1830238579999999,1.15590039,1.0980693879999999,0.863130607
Cayman Islands,1.9110396109999999,1.651191745,1.461744366,1.366353005,1.334595389
Central African Republic,1.914746267,1.936521675,1.9545372580000002,1.968283386,1.977644135
Chad,3.3244127289999996,3.334068973,3.328243395,3.3015950889999996,3.261297138
Channel Islands,0.566124134,0.526374244,0.49586776299999996,0.47930442,0.47457446299999995
Chile,1.088712405,1.082019205,1.071938836,1.057293581,1.0388774859999999
China,0.479150454,0.48723111799999996,0.493709634,0.506311592,0.508136747
Colombia,1.057897537,1.017448805,0.979265829,0.944004218,0.9108801959999999
Comoros,2.4426750669999997,2.440600902,2.428624816,2.404550925,2.372060539
"Congo, Dem. Rep.",3.206611698,3.1854222589999996,3.1669369310000004,3.15317545,3.141738113
"Congo, Rep.",2.701852333,2.570033801,2.491822399,2.486347213,2.528667516
Costa Rica,1.207437562,1.159669752,1.11714313,1.081430428,1.0505398190000002
Cote d'Ivoire,2.31975447,2.390461896,2.433577819,2.44243261,2.427516558
Croatia,,-0.305655945,-0.278509063,-0.407343185,-0.330505844
Cuba,0.136419273,0.16818878899999998,0.175061758,0.14604065900000002,0.09180158
Curacao,1.420897663,0.829929595,1.133678907,1.347641396,1.357566183
Cyprus,1.16731774,1.12728698,1.087570799,1.0461427429999999,1.004080092
Czech Republic,0.206747667,0.139925656,0.033169946,0.105277582,0.245505012
Denmark,0.411737855,0.37627224299999995,0.416901361,0.507053283,0.574710113
Djibouti,1.315333288,1.3295603,1.337333183,1.335093432,1.325049786
Dominica,0.329665233,0.395564054,0.445404035,0.46554889899999996,0.467519349
Dominican Republic,1.296441774,1.267432333,1.236747555,1.203986962,1.169842771
Ecuador,1.6112744019999998,1.5832915440000002,1.5560979169999998,1.530902125,1.506845985
"Egypt, Arab Rep.",2.106638179,2.211107117,2.254326174,2.218863304,2.129892119
El Salvador,0.27952191600000004,0.280768403,0.286321131,0.296162908,0.308591942
Equatorial Guinea,3.00206104,2.992522503,2.973587624,2.9425467239999996,2.9024604189999996
Eritrea,2.107928136,,,,
Estonia,-0.303582824,-0.357944411,-0.35589180299999995,-0.262256175,-0.19394320199999998
Ethiopia,2.589340241,2.562640856,2.535255744,2.50680866,2.47736063
Faroe Islands,-0.154545204,-0.20436607199999998,-0.208925969,-0.147130465,-0.045633687
Fiji,0.853949457,0.784506905,0.721402614,0.6749558859999999,0.640395308
Finland,0.463558707,0.47580948700000003,0.46072377299999995,0.413560208,0.37466947799999994
France,0.483644885,0.483982304,0.474516613,0.790901326,0.468770345
French Polynesia,1.037997767,1.0697135070000001,1.086578267,1.083477045,1.06054732
Gabon,2.267448678,2.2685658490000002,2.258907755,2.2362664469999998,2.204565449
"Gambia, The",3.2597513719999998,3.262697919,3.2539739560000003,3.231992692,3.201140871
Georgia,-1.307543305,-1.298719553,-1.2893219,-1.306162779,-1.296264437
Germany,0.025362127999999998,-1.691348956,2.1001571009999997,-1.410379527,0.530366451
Ghana,2.4805969180000003,2.441272627,2.397635733,2.350075661,2.3002318809999998
Gibraltar,1.084170557,1.072542257,1.0075811609999998,0.869475164,0.685211514
Greece,-0.147951277,-0.540752951,-0.725120807,-0.66611329,-0.632536106
Greenland,-0.026363197,-0.140721219,-0.577265865,-0.333398667,-0.322038549
Grenada,0.37473762200000005,0.38566441799999995,0.403069929,0.42120005200000005,0.446584284
Guam,0.8854312320000001,1.204346196,1.411308829,1.456149626,1.388170282
Guatemala,2.129043456,2.100666307,2.0737294630000003,2.048252145,2.023674003
Guinea,2.722621551,2.723327101,2.714271982,2.698294373,2.677072216
Guinea-Bissau,2.377167932,2.426886212,2.449486737,2.438527521,2.40417326
Guyana,0.334074633,0.333753421,0.345258441,0.375100609,0.416988961
Haiti,1.442333818,1.408851593,1.374736619,1.340572727,1.306576618
Honduras,1.554236301,1.493977504,1.4491960169999998,1.424638087,1.4140266559999999
"Hong Kong SAR, China",0.6725432920000001,1.166874383,0.458789964,0.7512579340000001,0.879887992
Hungary,-0.283360436,-0.5164376070000001,-0.275368757,-0.269378767,-0.22101201
Iceland,0.305468368,0.532100735,0.9458859000000001,1.112504755,1.044358627
India,1.328401097,1.285832037,1.2511906259999999,1.226730296,1.20929453
Indonesia,1.313747333,1.310610019,1.2939829440000001,1.260193359,1.214438403
"Iran, Islamic Rep.",1.245952092,1.28539455,1.2986599140000001,1.276545297,1.228136383
Iraq,3.18696753,3.362777672,3.4290818310000004,3.3612732660000004,3.208518261
Ireland,0.364213884,0.220500759,0.24816045399999997,0.41085101399999996,0.50719881
Isle of Man,0.876059347,0.83115294,0.793078976,0.7661813279999999,0.7466859920000001
Israel,1.8480778619999998,1.846151321,1.866052895,1.9195437990000002,1.9848688209999998
Italy,0.171978291,0.26954124,1.159251117,0.9175040959999999,0.021292655
Jamaica,0.33443048,0.294657238,0.253168707,0.216550537,0.197815357
Japan,-0.19752688399999999,-0.20032055899999998,-0.174866976,-0.162550166,-0.136430274
Jordan,3.652369096,3.40393502,3.102178673,2.751211309,2.377946955
Kazakhstan,1.429659402,1.408352557,1.4417854780000001,1.479722304,1.4635775780000002
Kenya,2.670896729,2.675206663,2.667037063,2.644121396,2.610792416
Kiribati,1.943045067,1.853500114,1.788450933,1.758837015,1.752455198
"Korea, Dem. People’s Rep.",0.5326616829999999,0.534447146,0.533043995,0.525083325,0.512315385
"Korea, Rep.",0.7441807140000001,0.450977411,0.42949412200000003,0.405959707,0.38220175
Kosovo,0.85666657,0.7921275109999999,0.712996115,-0.294473631,-0.86539806
Kuwait,5.707784116,5.419750887999999,4.966122256,4.3408509,3.636495117
Kyrgyz Republic,1.216890729,1.665236559,1.9847386669999998,2.006107899,2.060704678
Lao PDR,1.684702619,1.653329544,1.6385061769999998,1.6476769180000002,1.671083305
Latvia,-1.820767002,-1.240359153,-1.0710348029999999,-0.9417433540000001,-0.77246822
Lebanon,5.703105653,6.992350999,7.107568552,5.967518247999999,4.164439343
Lesotho,1.106171828,1.192157153,1.242893486,1.24688598,1.216964474
Liberia,3.025625055,2.674515489,2.44092428,2.367408337,2.4020052819999997
Libya,0.36569041700000005,-0.083502662,-0.277559486,-0.111824622,0.310335181
Liechtenstein,0.716908019,0.692780427,0.674515973,0.66195113,0.654933707
